# curie_map:
#   ccmm_ar: https://vocabs.ccmm.cz/registry/codelist/AgentRole/Contributor/
#   openaire_ar: info:eu-repo/semantics/
#   orcid: https://orcid.org/
#   semapv: https://w3id.org/semapv/vocab/
#   skos: http://www.w3.org/2004/02/skos/core#
# license: https://creativecommons.org/licenses/by/4.0/
# mapping_set_description: Mappings between openaire agent roles and CCMM agent roles
# mapping_set_id: http://vocabs.ccmm.cz/mappings/agent_roles_openaire
subject_id	subject_label	predicate_id	object_id	object_label	mapping_justification	mapping_date	creator_id	confidence
openaire_ar:ContactPerson	Contact Person	skos:exactMatch	ccmm_ar:ContactPerson	Contact Person	semapv:ManualMappingCuration	2026-07-20	orcid:0000-0003-0852-6632	1.0
openaire_ar:DataCollector	Data Collector	skos:exactMatch	ccmm_ar:DataCollector	Data Collector	semapv:ManualMappingCuration	2026-07-20	orcid:0000-0003-0852-6632	1.0
openaire_ar:DataCurator	Data Curator	skos:exactMatch	ccmm_ar:DataCurator	Data Curator	semapv:ManualMappingCuration	2026-07-20	orcid:0000-0003-0852-6632	1.0
openaire_ar:DataManager	Data Manager	skos:exactMatch	ccmm_ar:DataManager	Data Manager	semapv:ManualMappingCuration	2026-07-20	orcid:0000-0003-0852-6632	1.0
openaire_ar:Distributor	Distributor	skos:exactMatch	ccmm_ar:Distributor	Distributor	semapv:ManualMappingCuration	2026-07-20	orcid:0000-0003-0852-6632	1.0
openaire_ar:Editor	Editor	skos:exactMatch	ccmm_ar:Editor	Editor	semapv:ManualMappingCuration	2026-07-20	orcid:0000-0003-0852-6632	1.0
openaire_ar:HostingInstitution	Hosting Institution	skos:exactMatch	ccmm_ar:HostingInstitution	Hosting Institution	semapv:ManualMappingCuration	2026-07-20	orcid:0000-0003-0852-6632	1.0
openaire_ar:Producer	Producer	skos:exactMatch	ccmm_ar:Producer	Producer	semapv:ManualMappingCuration	2026-07-20	orcid:0000-0003-0852-6632	1.0
openaire_ar:ProjectLeader	Project Leader	skos:exactMatch	ccmm_ar:ProjectLeader	Project Leader	semapv:ManualMappingCuration	2026-07-20	orcid:0000-0003-0852-6632	1.0
openaire_ar:ProjectManager	Project Manager	skos:exactMatch	ccmm_ar:ProjectManager	Project Manager	semapv:ManualMappingCuration	2026-07-20	orcid:0000-0003-0852-6632	1.0
openaire_ar:ProjectMember	Project Member	skos:exactMatch	ccmm_ar:ProjectMember	Project Member	semapv:ManualMappingCuration	2026-07-20	orcid:0000-0003-0852-6632	1.0
openaire_ar:RegistrationAgency	Registration Agency	skos:exactMatch	ccmm_ar:RegistrationAgency	Registration Agency	semapv:ManualMappingCuration	2026-07-20	orcid:0000-0003-0852-6632	1.0
openaire_ar:RegistrationAuthority	Registration Authority	skos:exactMatch	ccmm_ar:RegistrationAuthority	Registration Authority	semapv:ManualMappingCuration	2026-07-20	orcid:0000-0003-0852-6632	1.0
openaire_ar:RelatedPerson	Related Person	skos:exactMatch	ccmm_ar:RelatedPerson	Related Person	semapv:ManualMappingCuration	2026-07-20	orcid:0000-0003-0852-6632	1.0
openaire_ar:Researcher	Researcher	skos:exactMatch	ccmm_ar:Researcher	Researcher	semapv:ManualMappingCuration	2026-07-20	orcid:0000-0003-0852-6632	1.0
openaire_ar:ResearchGroup	Research Group	skos:exactMatch	ccmm_ar:ResearchGroup	Research Group	semapv:ManualMappingCuration	2026-07-20	orcid:0000-0003-0852-6632	1.0
openaire_ar:RightsHolder	Rights Holder	skos:exactMatch	ccmm_ar:RightsHolder	Rights Holder	semapv:ManualMappingCuration	2026-07-20	orcid:0000-0003-0852-6632	1.0
openaire_ar:Sponsor	Sponsor	skos:exactMatch	ccmm_ar:Sponsor	Sponsor	semapv:ManualMappingCuration	2026-07-20	orcid:0000-0003-0852-6632	1.0
openaire_ar:Supervisor	Supervisor	skos:exactMatch	ccmm_ar:Supervisor	Supervisor	semapv:ManualMappingCuration	2026-07-20	orcid:0000-0003-0852-6632	1.0
openaire_ar:WorkPackageLeader	Work Package Leader	skos:exactMatch	ccmm_ar:WorkPackageLeader	Work Package Leader	semapv:ManualMappingCuration	2026-07-20	orcid:0000-0003-0852-6632	1.0
openaire_ar:Other	Other	skos:exactMatch	ccmm_ar:Other	Other	semapv:ManualMappingCuration	2026-07-20	orcid:0000-0003-0852-6632	1.0
